indexl,profit,scenario,Type,Name,Latitude,Longitude
205,2364070.2303135586,160,U-Bahn,Harthof,48.204722222222,11.568333333333
187,2242062.673140551,159,U-Bahn,Hauptbahnhof,48.140277777778,11.561111111111
244,2320365.879033127,159,U-Bahn,Arabellapark,48.153611111111,11.621388888889
226,2367262.932179676,158,U-Bahn,Forstenrieder Allee,48.095,11.499166666667
268,2367246.745411957,157,U-Bahn,Alte Heide,48.178611111111,11.602777777778
237,2166073.961056893,157,U-Bahn,Oberwiesenfeld,48.186111111111,11.544166666667
198,2308995.0517467656,156,U-Bahn,Wettersteinplatz,48.108611111111,11.575
228,2212626.7252164134,156,U-Bahn,Giselastraße,48.156944444444,11.584444444444
217,2214890.844974082,153,U-Bahn,Scheidplatz,48.171388888889,11.573333333333
254,2160544.514820675,153,U-Bahn,Schwanthalerhöhe,48.133888888889,11.541111111111
283,2047694.0372394715,152,U-Bahn,Partnachplatz,48.116944444444,11.526666666667
201,2186482.5817960766,151,U-Bahn,Dülferstraße,48.212777777778,11.5625
231,2238266.1069602408,151,U-Bahn,Machtlfingerstraße,48.097222222222,11.514722222222
184,2011744.3176760743,150,U-Bahn,Fraunhoferstraße,48.129166666667,11.574444444444
216,2085242.6912275457,148,U-Bahn,Milbertshofen,48.180833333333,11.573055555556
235,1964270.7134846682,142,U-Bahn,Münchner Freiheit,48.161111111111,11.586111111111
248,1763606.4176490002,139,U-Bahn,Karlsplatz (Stachus),48.139444444444,11.565833333333
219,2033679.5249256152,136,U-Bahn,Theresienstraße,48.1366,11.5532
239,2007565.954324846,135,U-Bahn,Olympiazentrum,48.180277777778,11.555555555556
203,1896990.9966448643,134,U-Bahn,Frankfurter Ring,48.187222222222,11.572777777778
194,1838494.303245054,128,U-Bahn,Sendlinger Tor,48.133333333333,11.566666666667
229,1820988.0978456163,125,U-Bahn,Goetheplatz,48.129722222222,11.558888888889
281,1776656.349895061,123,U-Bahn,Martinsried,48.109166666667,11.451666666667
280,742218.216469366,97,U-Bahn,Klinikum Großhadern,48.108888888889,11.473888888889
